Author,Co Author,Author_encoded,CoAuthor_encoded
"Prof. Alhadi Bustamam, Ph.D",Devvi Sarwinda,0,1
"Prof. Alhadi Bustamam, Ph.D",Titin Siswantining,0,21
"Prof. Alhadi Bustamam, Ph.D",Prasnurzaki Anki,0,22
"Prof. Alhadi Bustamam, Ph.D",Arry Yanuar,0,23
"Prof. Alhadi Bustamam, Ph.D",Dian Lestari,0,24
"Prof. Alhadi Bustamam, Ph.D",Radifa Hilya Paradisa,0,8
"Prof. Alhadi Bustamam, Ph.D",Wibowo Mangunwardoyo,0,25
"Prof. Alhadi Bustamam, Ph.D",HERLEY SHAORI AL-ASH,0,26
"Prof. Alhadi Bustamam, Ph.D",Dipo Aldila,0,2
"Prof. Alhadi Bustamam, Ph.D",Gianinna Ardaneswari,0,3
"Prof. Alhadi Bustamam, Ph.D",kevin burrage,0,27
"Prof. Alhadi Bustamam, Ph.D",Patuan Pangihutan Tampubolon,0,28
"Prof. Alhadi Bustamam, Ph.D",Nicholas A Hamilton,0,29
"Prof. Alhadi Bustamam, Ph.D",Andi Arus Viktor,0,30
"Prof. Alhadi Bustamam, Ph.D",Anggun Rama Yudantha,0,31
"Prof. Alhadi Bustamam, Ph.D",Tesdiq Prigel Kaloka,0,32
"Prof. Alhadi Bustamam, Ph.D",Ari Wibisono,0,33
"Prof. Alhadi Bustamam, Ph.D",Hengki Tasman,0,6
"Prof. Alhadi Bustamam, Ph.D",Amnia Salma,0,34
"Prof. Alhadi Bustamam, Ph.D",Nadya Asanul Husna,0,35
"Prof. Alhadi Bustamam, Ph.D",Heru Suhartanto,0,36
"Prof. Alhadi Bustamam, Ph.D",Hengki Muradi,0,37
"Prof. Alhadi Bustamam, Ph.D",Olivia Swasti,0,38
"Prof. Alhadi Bustamam, Ph.D",Sarah Syarofina,0,39
"Prof. Alhadi Bustamam, Ph.D",Haris Hamzah,0,40
"Prof. Alhadi Bustamam, Ph.D",Aniati Murni Arymurthy,0,41
"Prof. Alhadi Bustamam, Ph.D",Zuherman Rustam,0,20
"Prof. Alhadi Bustamam, Ph.D",MUTIA FADHILA PUTRI,0,42
"Prof. Alhadi Bustamam, Ph.D",Aria Kekalih,0,43
"Prof. Alhadi Bustamam, Ph.D",Hendri Murfi,0,4
"Prof. Alhadi Bustamam, Ph.D",Mohamad Irvan Septiar Musti,0,44
"Prof. Alhadi Bustamam, Ph.D",Wisnu Jatmiko,0,45
Devvi Sarwinda,"Prof. Alhadi Bustamam, Ph.D",1,0
Devvi Sarwinda,Titin Siswantining,1,21
Devvi Sarwinda,Aniati Murni Arymurthy,1,41
Devvi Sarwinda,Ari Wibisono,1,33
Devvi Sarwinda,Gianinna Ardaneswari,1,3
Devvi Sarwinda,Hanif Wisesa,1,46
Devvi Sarwinda,Ibnu Daqiqil Id,1,47
Dipo Aldila,Hengki Tasman,2,6
Dipo Aldila,Nuning Nuraini,2,48
Dipo Aldila,Nursanti Anggriani,2,49
Dipo Aldila,Asep K. Supriatna,2,50
Dipo Aldila,Fevi Novkaniza,2,51
Dipo Aldila,Mochamad Apri,2,52
Gianinna Ardaneswari,"Prof. Alhadi Bustamam, Ph.D",3,0
Gianinna Ardaneswari,Hendri Murfi,3,4
Gianinna Ardaneswari,Devvi Sarwinda,3,1
Gianinna Ardaneswari,Dian Lestari,3,24
Gianinna Ardaneswari,Bevina D Handari,3,53
Gianinna Ardaneswari,Hengki Tasman,3,6
Gianinna Ardaneswari,Titin Siswantining,3,21
Gianinna Ardaneswari,Dipo Aldila,3,2
Gianinna Ardaneswari,Maulana Malik,3,7
Gianinna Ardaneswari,Nora Hariadi,3,54
Hendri Murfi,Abdul Azis Abdillah,4,55
Hendri Murfi,Benyamin Kusumoputro,4,56
Setia Pramana,Ziv SHKEDY,5,57
Setia Pramana,Siti Mariyah,5,58
Setia Pramana,Ricky Yordani,5,59
Setia Pramana,Robert Kurniawan,5,60
Setia Pramana,Mudatsir Mudatsir,5,61
Setia Pramana,"Harapan Harapan, MD",5,62
Setia Pramana,Samsul Anwar,5,63
Setia Pramana,Satria Bagus Panuntun,5,64
Setia Pramana,Budi Yuniarto,5,65
Setia Pramana,Nensi Fitria Deli,5,66
Setia Pramana,Fajar Fathur Rachman,5,67
